# SLAC 3-m S-band CG-TW structure cell geometry — Table I from SLAC-10 (1962)
# CAUTION: This is a tau=0.40 prototype design, NOT the production tau=0.57 structure.
# The production structure (used in UH FEL) has different cell dimensions.
# Source: "Two-Mile Accelerator Project," SLAC Report No. 10, Oct-Dec 1962, p. 24
# Disk thickness t = 0.230 inches, rho = 0.1215 in.
# Units: inches (all dimensions), dimensionless (v_g/c)
# "fifth significant figure to be disregarded"
# Cavity 81: source prints 0.88653 but this is a probable typo for 0.88853
#   (step 80→81 would be 0.00533 vs regular ~0.0033; Fig. 13 shows smooth curve)
# Coupler cavities (0, 85): 2b values assume no coupling-iris aperture;
#   reduce 2b of cavity 0 by ~0.050 in., cavity 85 by ~0.040 in. for correction.
# H column: cavities 0-67 give h_II (2r_II=1-3/16 in.), cavities 68-85 give h_I (2r_I=1 in.)
cavity,2a_in,2b_in,H_in,vg_over_c
0,1.0977,3.3052,0.72693,0.0250383
1,1.0955,3.3045,0.72979,0.0248767
2,1.0933,3.3038,0.73261,0.0247151
3,1.0911,3.3030,0.73540,0.0245534
4,1.0889,3.3023,0.73816,0.0243918
5,1.0867,3.3015,0.74089,0.0242302
6,1.0845,3.3008,0.74359,0.0240686
7,1.0823,3.3001,0.74627,0.0239069
8,1.0801,3.2994,0.74891,0.0237453
9,1.0779,3.2987,0.75154,0.0235837
10,1.0757,3.2979,0.75413,0.0234220
11,1.0735,3.2972,0.75671,0.0232604
12,1.0712,3.2965,0.75926,0.0230988
13,1.0690,3.2958,0.76179,0.0229372
14,1.0668,3.2951,0.76430,0.0227755
15,1.0645,3.2944,0.76679,0.0226139
16,1.0623,3.2937,0.76926,0.0224523
17,1.0600,3.2930,0.77171,0.0222906
18,1.0578,3.2923,0.77415,0.0221290
19,1.0555,3.2916,0.77657,0.0219674
20,1.0533,3.2909,0.77897,0.0218058
21,1.0510,3.2902,0.78136,0.0216441
22,1.0487,3.2895,0.78373,0.0214825
23,1.0464,3.2888,0.78609,0.0213209
24,1.0441,3.2881,0.78844,0.0211593
25,1.0418,3.2874,0.79077,0.0209976
26,1.0395,3.2867,0.79309,0.0208360
27,1.0371,3.2860,0.79540,0.0206744
28,1.0348,3.2853,0.79770,0.0205127
29,1.0325,3.2847,0.79998,0.0203511
30,1.0301,3.2840,0.80226,0.0201895
31,1.0277,3.2833,0.80452,0.0200279
32,1.0254,3.2826,0.80678,0.0198662
33,1.0230,3.2819,0.80903,0.0197046
34,1.0206,3.2812,0.81127,0.0195430
35,1.0182,3.2805,0.81350,0.0193813
36,1.0157,3.2798,0.81572,0.0192197
37,1.0133,3.2791,0.81794,0.0190581
38,1.0108,3.2784,0.82015,0.0188965
39,1.0084,3.2778,0.82235,0.0187348
40,1.0059,3.2771,0.82455,0.0185732
41,1.0034,3.2764,0.82674,0.0184116
42,1.0009,3.2757,0.82892,0.0182500
43,0.99844,3.2750,0.83110,0.0180883
44,0.99590,3.2743,0.83328,0.0179267
45,0.99336,3.2736,0.83545,0.0177651
46,0.99079,3.2729,0.83761,0.0176034
47,0.98821,3.2722,0.83977,0.0174418
48,0.98562,3.2715,0.84193,0.0172802
49,0.98300,3.2708,0.84409,0.0171186
50,0.98038,3.2701,0.84624,0.0169569
51,0.97773,3.2694,0.84839,0.0167953
52,0.97507,3.2686,0.85053,0.0166337
53,0.97238,3.2679,0.85268,0.0164720
54,0.96968,3.2672,0.85482,0.0163104
55,0.96696,3.2665,0.85696,0.0161488
56,0.96423,3.2658,0.85909,0.0159872
57,0.96147,3.2651,0.86123,0.0158255
58,0.95869,3.2643,0.86336,0.0156639
59,0.95590,3.2636,0.86549,0.0155023
60,0.95308,3.2629,0.86763,0.0153406
61,0.95024,3.2622,0.86976,0.0151790
62,0.94738,3.2614,0.87189,0.0150174
63,0.94450,3.2607,0.87402,0.0148558
64,0.94160,3.2599,0.87615,0.0146941
65,0.93867,3.2592,0.87828,0.0145325
66,0.93572,3.2585,0.88041,0.0143709
67,0.93275,3.2577,0.88254,0.0142093
68,0.92976,3.2570,0.59008,0.0140476
69,0.92674,3.2562,0.59421,0.0138860
70,0.92370,3.2554,0.59827,0.0137244
71,0.92063,3.2547,0.60229,0.0135627
72,0.91754,3.2539,0.60625,0.0134011
73,0.91442,3.2532,0.61017,0.0132395
74,0.91128,3.2524,0.61404,0.0130779
75,0.90811,3.2516,0.61788,0.0129162
76,0.90492,3.2508,0.62167,0.0127546
77,0.90169,3.2501,0.62542,0.0125930
78,0.89844,3.2493,0.62914,0.0124313
79,0.89517,3.2485,0.63283,0.0122697
80,0.89186,3.2477,0.63648,0.0121081
81,0.88853,3.2469,0.64010,0.0119465
82,0.88517,3.2461,0.64370,0.0117848
83,0.88178,3.2453,0.64726,0.0116232
84,0.87835,3.2445,0.65080,0.0114616
85,0.87490,3.2437,0.65431,0.0113000
