# SLAC 3-m S-band CG-TW structure cell geometry — Table II from SLAC-10 (1962)
# CAUTION: This is a tau=0.40 prototype design, NOT the production tau=0.57 structure.
# Source: "Two-Mile Accelerator Project," SLAC Report No. 10, Oct-Dec 1962, p. 24
# Disk thickness t = 0.120 inches, rho = 0.0625 in.
# Units: inches (all dimensions), dimensionless (v_g/c)
# "fifth significant figure to be disregarded"
# Coupler cavities (0, 85): reduce 2b of cavity 0 by ~0.040 in., cavity 85 by ~0.030 in.
# H column: cavities 0-30 give h_II, cavities 31-85 give h_I
cavity,2a_in,2b_in,H_in,vg_over_c
0,1.0006,3.2645,0.87306,0.0250383
1,0.99878,3.2640,0.87463,0.0248767
2,0.99682,3.2635,0.87622,0.0247151
3,0.99482,3.2630,0.87783,0.0245534
4,0.99279,3.2625,0.87945,0.0243918
5,0.99073,3.2620,0.88110,0.0242302
6,0.98863,3.2614,0.88275,0.0240686
7,0.98651,3.2609,0.88442,0.0239069
8,0.98435,3.2603,0.88611,0.0237453
9,0.98217,3.2598,0.88780,0.0235837
10,0.97996,3.2592,0.88950,0.0234220
11,0.97773,3.2587,0.89121,0.0232604
12,0.97547,3.2581,0.89292,0.0230988
13,0.97319,3.2575,0.89464,0.0229372
14,0.97089,3.2570,0.89636,0.0227755
15,0.96858,3.2564,0.89809,0.0226139
16,0.96624,3.2558,0.89981,0.0224523
17,0.96389,3.2552,0.90154,0.0222906
18,0.96153,3.2546,0.90326,0.0221290
19,0.95914,3.2540,0.90499,0.0219674
20,0.95675,3.2534,0.90671,0.0218058
21,0.95435,3.2528,0.90843,0.0216441
22,0.95193,3.2522,0.91014,0.0214825
23,0.94951,3.2516,0.91185,0.0213209
24,0.94707,3.2511,0.91355,0.0211593
25,0.94463,3.2505,0.91525,0.0209976
26,0.94218,3.2499,0.91694,0.0208360
27,0.93972,3.2493,0.91863,0.0206744
28,0.93726,3.2487,0.92031,0.0205127
29,0.93479,3.2481,0.92198,0.0203511
30,0.93231,3.2475,0.92364,0.0201695
31,0.92983,3.2469,0.64003,0.0200279
32,0.92735,3.2463,0.64322,0.0198662
33,0.92486,3.2457,0.64636,0.0197046
34,0.92237,3.2451,0.64944,0.0195430
35,0.91988,3.2446,0.65248,0.0193813
36,0.91738,3.2440,0.65548,0.0192197
37,0.91488,3.2434,0.65843,0.0190581
38,0.91238,3.2428,0.66134,0.0188965
39,0.90987,3.2422,0.66421,0.0187348
40,0.90736,3.2417,0.66703,0.0185732
41,0.90485,3.2411,0.66983,0.0184116
42,0.90233,3.2405,0.67258,0.0182500
43,0.89981,3.2399,0.67530,0.0180883
44,0.89729,3.2394,0.67799,0.0179267
45,0.89476,3.2388,0.68064,0.0177651
46,0.89222,3.2383,0.68327,0.0176034
47,0.88969,3.2377,0.68586,0.0174418
48,0.88714,3.2371,0.68843,0.0172802
49,0.88459,3.2366,0.69097,0.0171186
50,0.88204,3.2360,0.69349,0.0169569
51,0.87947,3.2354,0.69598,0.0167953
52,0.87690,3.2349,0.69845,0.0166337
53,0.87432,3.2343,0.70090,0.0164720
54,0.87173,3.2337,0.70333,0.0163104
55,0.86913,3.2332,0.70574,0.0161488
56,0.86651,3.2326,0.70814,0.0159872
57,0.86389,3.2321,0.71052,0.0158255
58,0.86125,3.2315,0.71288,0.0156639
59,0.85860,3.2310,0.71522,0.0155023
60,0.85594,3.2304,0.71756,0.0153406
61,0.85325,3.2298,0.71988,0.0151790
62,0.85056,3.2293,0.72219,0.0150174
63,0.84784,3.2287,0.72449,0.0148558
64,0.84511,3.2281,0.72679,0.0146941
65,0.84235,3.2276,0.72907,0.0145325
66,0.83958,3.2270,0.73135,0.0143709
67,0.83678,3.2264,0.73362,0.0142093
68,0.83396,3.2259,0.73588,0.0140476
69,0.83112,3.2253,0.73814,0.0138860
70,0.82825,3.2247,0.74040,0.0137244
71,0.82536,3.2241,0.74265,0.0135627
72,0.82244,3.2235,0.74490,0.0134011
73,0.81949,3.2229,0.74715,0.0132395
74,0.81651,3.2224,0.74939,0.0130779
75,0.81350,3.2218,0.75164,0.0129162
76,0.81046,3.2212,0.75388,0.0127546
77,0.80739,3.2206,0.75613,0.0125930
78,0.80429,3.2200,0.75838,0.0124313
79,0.80115,3.2194,0.76062,0.0122697
80,0.79798,3.2188,0.76287,0.0121081
81,0.79477,3.2181,0.76512,0.0119465
82,0.79153,3.2175,0.76737,0.0117848
83,0.78825,3.2169,0.76962,0.0116232
84,0.78494,3.2163,0.77188,0.0114616
85,0.78158,3.2157,0.77413,0.0113000
