# SLAC 3-m S-band CG-TW structure cell geometry — Table 6-6 from SLAC-75 (1968)
# This is the PRODUCTION tau=0.57 structure used in the UH FEL.
# Source: "The Stanford Two-Mile Accelerator," R.B. Neal ed., SLAC-75,
#   Chapter 6 (G.A. Loew et al.), Table 6-6, p. 145
# 2pi/3 mode, tau=0.57, rho=0.1215 in., t=0.2300 in.
# Cavity numbers increase in the direction of beam travel.
# 2a opposite each cavity number is the diameter of the aperture in the
#   up-beam disk of that cavity.
# Input coupler: center displaced 0.1550 in. away from waveguide (amplitude
#   asymmetry compensation). Output coupler: displaced 0.0800 in.
# Input coupler 2a=0.7517 is beam entrance aperture into coupler.
# Output coupler 2b=3.1310 assumes no coupling-iris aperture.
# Units: inches (all dimensions)
cavity,2b_in,2a_in
input_coupler,3.0416,0.7517
1,3.2859,1.0323
2,3.2853,1.0300
3,3.2846,1.0277
4,3.2839,1.0254
5,3.2832,1.0231
6,3.2825,1.0207
7,3.2817,1.0183
8,3.2810,1.0159
9,3.2802,1.0135
10,3.2794,1.0111
11,3.2786,1.0087
12,3.2779,1.0063
13,3.2772,1.0039
14,3.2766,1.0015
15,3.2759,0.9991
16,3.2752,0.9967
17,3.2745,0.9943
18,3.2738,0.9918
19,3.2731,0.9893
20,3.2724,0.9868
21,3.2717,0.9843
22,3.2711,0.9817
23,3.2704,0.9791
24,3.2697,0.9765
25,3.2690,0.9739
26,3.2683,0.9712
27,3.2676,0.9685
28,3.2669,0.9658
29,3.2662,0.9631
30,3.2655,0.9603
31,3.2648,0.9575
32,3.2641,0.9547
33,3.2633,0.9518
34,3.2626,0.9489
35,3.2619,0.9460
36,3.2612,0.9431
37,3.2604,0.9401
38,3.2597,0.9371
39,3.2589,0.9341
40,3.2582,0.9310
41,3.2574,0.9279
42,3.2566,0.9248
43,3.2558,0.9217
44,3.2550,0.9185
45,3.2542,0.9153
46,3.2534,0.9121
47,3.2527,0.9089
48,3.2519,0.9056
49,3.2511,0.9023
50,3.2503,0.8990
51,3.2495,0.8956
52,3.2487,0.8922
53,3.2479,0.8888
54,3.2471,0.8854
55,3.2463,0.8819
56,3.2454,0.8784
57,3.2446,0.8749
58,3.2438,0.8713
59,3.2429,0.8677
60,3.2421,0.8640
61,3.2413,0.8603
62,3.2404,0.8565
63,3.2395,0.8527
64,3.2387,0.8488
65,3.2378,0.8449
66,3.2369,0.8409
67,3.2360,0.8369
68,3.2351,0.8329
69,3.2342,0.8288
70,3.2333,0.8246
71,3.2324,0.8204
72,3.2315,0.8161
73,3.2306,0.8117
74,3.2297,0.8072
75,3.2288,0.8027
76,3.2280,0.7981
77,3.2271,0.7934
78,3.2262,0.7886
79,3.2253,0.7836
80,3.2243,0.7786
81,3.2233,0.7735
82,3.2223,0.7682
83,3.2213,0.7628
84,3.2202,0.7573
output_coupler,3.1310,0.7517
